tool_id,dct_title,wikidata_id,tool_category,tool_homepage,open_source_license,input_formats,output_formats,source_levels_supported,typical_tasks,legal_use_guidance,legal_risk_level,recommended_controls,dct_conforms_to,related_source_ids,related_tool_ids,related_use_case_ids,related_skill_ids,related_evaluation_ids,github_resource_type,github_resource_id,github_url,github_api_url,github_metadata_status,hf_repo_type,hf_repo_id,hf_api_url,hf_task_or_sdk,hf_license,hf_last_modified,hf_metadata_status,mcp_server_id,mcp_transport,mcp_endpoint_url,mcp_auth_method,mcp_tools_exposed,mcp_resources_exposed,mcp_prompts_exposed,mcp_installation,mcp_security_notes,mcp_status
TOOL-DATAGOUV-MCP,datagouv-mcp,,MCP server,https://mcp.data.gouv.fr/mcp,MIT,Python,,L1_portal; L2_dataset; L3_fragmented_source,"Official data.gouv.fr Model Context Protocol (MCP) server that allows AI chatbots to search, explore, and analyze datasets from the French national Open Data platform, directly through conversation.",Review the MIT license before reuse.,Low,"Review repository documentation, license, dependencies, and authentication requirements before reuse.",GitHub REST API; SourceCommons-SCF-0.1,,,,,,repository,datagouv/datagouv-mcp,https://github.com/datagouv/datagouv-mcp,https://api.github.com/repos/datagouv/datagouv-mcp,Available,N/A,,,,,,Not checked,,,https://mcp.data.gouv.fr/mcp,,,,,claude mcp add --transport http datagouv https://mcp.data.gouv.fr/mcp,,usable
TOOL-WEB-SCRAPPER,Web Scrapper,,Extraction,https://webscraper.io,--,,,,Web Scraper is designed for regular and scheduled use to extract large amounts of data and easily integrate with other systems.,,Medium,,DCAT-3; SourceCommons-SCF-0.1,,,,,,N/A,,,,Not checked,N/A,,,,,,Not checked,,,,,,,,,,
